EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,Target
4209.230957,4291.794922,4188.205078,4227.692383,3580,4191.794922,4155.897461,4149.230957,4192.820313,3905.641113,4183.077148,4226.153809,4122.05127,4377.436035,0
4342.05127,4146.666504,4182.05127,4198.974121,5567.179688,4224.102539,4222.563965,4190.256348,4222.05127,4736.410156,4157.94873,4159.487305,4427.179688,4366.153809,0
4232.307617,4069.743652,4181.538574,4140.512695,5387.179688,4222.563965,4261.538574,4225.641113,4219.487305,4587.692383,4293.846191,4226.666504,4518.974121,4135.384766,0
4470.256348,4548.205078,4191.282227,4390.256348,4903.077148,4191.282227,4190.256348,4156.922852,4188.717773,4927.692383,4288.205078,4284.102539,4428.205078,4478.974121,0
4276.922852,4212.820313,4168.717773,4258.461426,5779.487305,4243.077148,4240,4231.794922,4258.461426,4773.846191,4260.512695,4300.512695,4615.384766,4268.205078,0
4232.307617,4189.743652,4181.025879,4376.410156,5427.692383,4227.179688,4208.205078,4231.794922,4247.179688,4703.589844,4222.05127,4291.794922,4548.205078,4247.179688,0
4250.256348,4160.512695,4188.205078,4157.94873,5048.717773,4232.820313,4241.538574,4204.615234,4227.692383,4453.846191,4354.358887,4203.589844,4601.025879,4217.436035,0
4232.307617,4007.179443,4216.922852,3954.871826,4394.358887,4169.743652,4223.589844,4172.820313,4191.282227,4502.563965,4152.307617,4180,4197.436035,4193.333496,0
4268.205078,4113.333496,4188.205078,4202.05127,5038.461426,4220.512695,4237.94873,4231.794922,4245.128418,4398.974121,4259.487305,4268.717773,4516.922852,4293.846191,0
4206.153809,4410.256348,4130.769043,4487.692383,5068.205078,4249.230957,4193.846191,4177.94873,4240.512695,4670.769043,4362.563965,4128.717773,4736.922852,4207.179688,0
4241.538574,4266.666504,4177.94873,4232.307617,5292.820313,4264.102539,4255.384766,4237.436035,4283.077148,4560,4320.512695,4214.871582,4601.538574,4230.769043,0
4255.384766,4213.846191,4180,4190.769043,4410.256348,4214.871582,4177.436035,4180.512695,4195.897461,4412.820313,4256.410156,4190.769043,4377.436035,4232.307617,0
4310.256348,3881.025635,4255.384766,3732.820557,3934.358887,4123.589844,4217.94873,4192.820313,4164.615234,4086.153809,4129.230957,4314.358887,4226.666504,4258.974121,0
